time,S-Curve,Front Loaded,Back Loaded
1,0,0,0
2,0.00029800000000000003,0.0000029800000000000003,0.0005930200000000001
3,0.001184,0.00002368,0.00234432
4,0.002646,0.00007937999999999999,0.005212619999999999
5,0.004672,0.00018688,0.00915712
6,0.007250000000000001,0.0003625000000000001,0.014137500000000002
7,0.010367999999999999,0.0006220799999999999,0.020113919999999997
8,0.014014000000000002,0.0009809800000000002,0.027047020000000005
9,0.018176,0.0014540800000000002,0.03489792
10,0.022841999999999998,0.0020557799999999997,0.043628219999999995
11,0.028000000000000004,0.0028000000000000004,0.053200000000000004
12,0.033637999999999994,0.0037001799999999995,0.06357581999999999
13,0.039743999999999995,0.004769279999999999,0.07471871999999999
14,0.04630600000000001,0.0060197800000000015,0.08659222000000001
15,0.053312000000000005,0.007463680000000001,0.09916032
16,0.06075,0.009112499999999999,0.1123875
17,0.068608,0.01097728,0.12623872
18,0.07687400000000003,0.013068580000000005,0.14067942000000005
19,0.085536,0.015396479999999999,0.15567552
20,0.094582,0.01797058,0.17119342
21,0.10400000000000002,0.020800000000000006,0.18720000000000003
22,0.11377799999999999,0.02389338,0.20366262
23,0.123904,0.02725888,0.22054912000000002
24,0.134366,0.030904180000000003,0.23782782000000002
25,0.145152,0.034836479999999996,0.25546752
26,0.15625,0.0390625,0.2734375
27,0.16764800000000002,0.043588480000000006,0.29170752000000005
28,0.17933400000000002,0.04842018000000001,0.31024782
29,0.19129600000000002,0.053562880000000014,0.32902912
30,0.20352199999999998,0.05902137999999999,0.34802261999999995
31,0.216,0.0648,0.36719999999999997
32,0.228718,0.07090258,0.38653342
33,0.241664,0.07733248,0.40599551999999994
34,0.254826,0.08409258,0.42555941999999997
35,0.26819200000000004,0.09118528000000002,0.44519872000000005
36,0.28174999999999994,0.09861249999999998,0.4648874999999999
37,0.29548800000000003,0.10637568,0.4846003200000001
38,0.30939399999999995,0.11447577999999999,0.5043122199999999
39,0.323456,0.12291328000000001,0.52399872
40,0.337662,0.13168818000000002,0.54363582
41,0.3520000000000001,0.14080000000000004,0.5632000000000001
42,0.36645799999999995,0.15024777999999997,0.58266822
43,0.381024,0.16003008,0.60201792
44,0.395686,0.17014498,0.62122702
45,0.410432,0.18059008000000001,0.64027392
46,0.4252500000000001,0.19136250000000005,0.6591375000000002
47,0.440128,0.20245888,0.67779712
48,0.45505399999999996,0.21387537999999998,0.69623262
49,0.470016,0.22560767999999998,0.71442432
50,0.485002,0.23765097999999998,0.73235302
51,0.5,0.25,0.75
52,0.514998,0.26264898,0.7673470199999999
53,0.529984,0.27559168,0.78437632
54,0.544946,0.28882138,0.8010706200000001
55,0.559872,0.30233088,0.81741312
56,0.5747500000000001,0.3161125000000001,0.8333875000000001
57,0.5895680000000001,0.3301580800000001,0.84897792
58,0.604314,0.34445897999999997,0.8641690200000002
59,0.618976,0.35900607999999995,0.8789459199999999
60,0.6335419999999999,0.37378977999999996,0.89329422
61,0.648,0.3888,0.9072
62,0.662338,0.40402617999999996,0.9206498200000001
63,0.676544,0.41945728000000004,0.93363072
64,0.690606,0.43508178000000003,0.9461302200000001
65,0.704512,0.45088768,0.9581363199999999
66,0.71825,0.46686250000000007,0.9696375000000002
67,0.731808,0.48299328,0.98062272
68,0.7451740000000001,0.4992665800000001,0.9910814200000002
69,0.7583360000000001,0.5156684800000001,1.00100352
70,0.7712819999999999,0.5321845799999999,1.01037942
71,0.7839999999999999,0.5488,1.0191999999999999
72,0.796478,0.56549938,1.0274566200000002
73,0.808704,0.5822668799999999,1.03514112
74,0.8206659999999999,0.5990861799999999,1.04224582
75,0.832352,0.61594048,1.04876352
76,0.84375,0.6328125,1.0546875
77,0.8548479999999999,0.64968448,1.06001152
78,0.8656339999999999,0.66653818,1.06472982
79,0.8760960000000001,0.6833548800000001,1.0688371200000002
80,0.8862220000000001,0.7001153800000001,1.07232862
81,0.8960000000000001,0.7168000000000001,1.0752000000000002
82,0.9054180000000001,0.7333885800000001,1.07744742
83,0.9144639999999999,0.7498604799999999,1.0790675200000002
84,0.923126,0.76619458,1.08005742
85,0.9313919999999999,0.7823692799999998,1.08041472
86,0.9392499999999999,0.7983624999999999,1.0801374999999998
87,0.946688,0.8141516799999999,1.07922432
88,0.953694,0.8297137800000001,1.07767422
89,0.960256,0.84502528,1.07548672
90,0.966362,0.86006218,1.07266182
91,0.972,0.8748,1.0692000000000002
92,0.977158,0.88921378,1.0651022199999998
93,0.981824,0.9032780800000001,1.06036992
94,0.985986,0.9169669800000001,1.0550050199999998
95,0.9896320000000001,0.93025408,1.04900992
96,0.99275,0.9431125,1.0423875
97,0.995328,0.95551488,1.03514112
98,0.997354,0.9674333799999999,1.02727462
99,0.9988159999999999,0.9788396799999999,1.01879232
100,0.999702,0.98970498,1.00969902
101,1,1,1
